,Actors,Awards,Country,Director,Genre,Language,Plot,Poster,Rated,Released,Runtime in minutes,Title,Type,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
0,"Rami Malek, Christian Slater, Carly Chaikin, Martin Wallstr??m",Won 2 Golden Globes. Another 18 wins & 77 nominations.,USA,Sam Esmail,"Crime, Drama, Thriller","English, Swedish, Danish, Chinese, Persian","Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",https://m.media-amazon.com/images/M/MV5BMzgxMmQxZjQtNDdmMC00MjRlLTk1MDEtZDcwNTdmOTg0YzA2XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_SX300.jpg,TV-MA,24-Jun-15,49,Mr. Robot,series,Sam Esmail,2015-2019,tt4158110,8.5,307790,4
1,"Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle",15 wins & 33 nominations.,UK,,"Crime, Drama","Italian, Yiddish, English, Romanian, Irish","A gangster family epic set in 1919 Birmingham, England; centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",https://m.media-amazon.com/images/M/MV5BMTkzNjEzMDEzMF5BMl5BanBnXkFtZTgwMDI0MjE4MjE@._V1_SX300.jpg,TV-MA,30-Sep-14,60,Peaky Blinders,series,Steven Knight,2013-,tt2442560,8.8,263526,5
2,"Karoline Eichhorn, Louis Hofmann, J??rdis Triebel, Maja Sch??ne",5 wins & 17 nominations.,"Germany, USA",,"Crime, Drama, Mystery, Sci-Fi, Thriller",German,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.",https://m.media-amazon.com/images/M/MV5BMmIyZjA3NGUtYjlhNS00ZDlkLWI0MDgtMDc2YWNjNGMwYWZhXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg,TV-MA,01-Dec-17,60,Dark,series,"Baran bo Odar, Jantje Friese",2017-,tt5753856,8.7,160927,3
3,"Bryan Cranston, Anna Gunn, Aaron Paul, Betsy Brandt",Won 2 Golden Globes. Another 151 wins & 234 nominations.,USA,,"Crime, Drama, Thriller","English, Spanish",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,https://m.media-amazon.com/images/M/MV5BMjhiMzgxZTctNDc1Ni00OTIxLTlhMTYtZTA3ZWFkODRkNmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,TV-MA,20-Jan-08,49,Breaking Bad,series,Vince Gilligan,2008-2013,tt0903747,9.5,1313775,5
4,"Peter Dinklage, Lena Headey, Emilia Clarke, Kit Harington",Won 1 Golden Globe. Another 273 wins & 454 nominations.,"USA, UK",,"Action, Adventure, Drama, Fantasy, Romance",English,"Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.",https://m.media-amazon.com/images/M/MV5BMjA5NzA5NjMwNl5BMl5BanBnXkFtZTgwNjg2OTk2NzM@._V1_SX300.jpg,TV-MA,17-Apr-11,57,Game of Thrones,series,"David Benioff, D.B. Weiss",2011-,tt0944947,9.5,1429496,8
5,"Norman Reedus, Melissa McBride, Danai Gurira, Andrew Lincoln",Nominated for 1 Golden Globe. Another 76 wins & 207 nominations.,USA,,"Drama, Horror, Thriller",English,"Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins, and must lead a group of survivors to stay alive.",https://m.media-amazon.com/images/M/MV5BYTUwOTM3ZGUtMDZiNy00M2I3LWI1ZWEtYzhhNGMyZjI3MjBmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,TV-MA,31-Oct-10,44,The Walking Dead,series,"Frank Darabont, Angela Kang",2010-,tt1520211,8.2,817703,11
6,"Matthew McConaughey, Colin Farrell, Mahershala Ali, Woody Harrelson",Nominated for 4 Golden Globes. Another 30 wins & 82 nominations.,USA,,"Crime, Drama, Mystery, Thriller",English,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",https://m.media-amazon.com/images/M/MV5BMTUwMGM2ZmYtZGEyZC00OWQyLWI2Y2QtMTdjYzMxZGJmNjhjXkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_SX300.jpg,TV-MA,12-Jan-14,55,True Detective,series,Nic Pizzolatto,2014-,tt2356777,9,464723,3
7,"Jason Momoa, Sylvia Hoeks, Hera Hilmar, Christian Camargo",1 nomination.,USA,,"Action, Drama, Sci-Fi",English,"Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins is born with sight.",https://m.media-amazon.com/images/M/MV5BYWI2ZmM5ZTgtOTgxYS00MTQ4LThkMjQtZjBlNGM3NjQ5YTI5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,TV-MA,01-Nov-19,60,See,series,Steven Knight,2019-,tt7949218,7.6,29802,1
8,"Dan Castellaneta, Nancy Cartwright, Harry Shearer, Julie Kavner",Nominated for 1 Golden Globe. Another 168 wins & 302 nominations.,USA,,"Animation, Comedy","English, Spanish, Albanian, French, Japanese, German, Russian, Hindi, Swahili, Italian, Swedish, Turkish, Cantonese, Mandarin, Hebrew, Arabic, Klingon, Bengali, Czech",The satiric adventures of a working-class family in the misfit city of Springfield.,https://m.media-amazon.com/images/M/MV5BYjFkMTlkYWUtZWFhNy00M2FmLThiOTYtYTRiYjVlZWYxNmJkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,TV-PG,17-Dec-89,22,The Simpsons,series,"James L. Brooks, Matt Groening, Sam Simon",1989-,tt0096697,8.7,328282,31
9,"Bob Odenkirk, Jonathan Banks, Rhea Seehorn, Patrick Fabian",Nominated for 3 Golden Globes. Another 27 wins & 148 nominations.,USA,,"Crime, Drama","English, Spanish, Vietnamese","The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.",https://m.media-amazon.com/images/M/MV5BMGE4YzY4NGEtOWYyYS00ZDk2LWExMmMtZDIyODhiMmNlMGE0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,TV-MA,08-Feb-15,46,Better Call Saul,series,"Vince Gilligan, Peter Gould",2015-,tt3032476,8.7,269519,6
10,"Evan Rachel Wood, Jeffrey Wright, Ed Harris, Tessa Thompson",Nominated for 4 Golden Globes. Another 47 wins & 150 nominations.,USA,,"Drama, Mystery, Sci-Fi, Western",English,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.",https://m.media-amazon.com/images/M/MV5BYjQwODU3ZDgtNmNmNC00YWRmLTk0MmYtYTdhYzY0M2I0Mzk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,TV-MA,02-Oct-16,62,Westworld,series,"Lisa Joy, Jonathan Nolan",2016-,tt0475784,8.7,375039,3
